2025-02,2호선,0243,충정로(경기대입구),15,2,"2,862",884,"5,945","5,727","14,272","22,539","21,469","60,726","13,974","26,038","10,819","11,516","11,160","10,091","11,785","10,378","12,633","12,625","12,648","11,514","13,030","11,785","15,393","12,732","31,965","16,333","46,550","21,315","15,211","14,997","10,379","10,452","9,216","10,095","6,073","8,793","2,919","5,556",713,"1,575",0,45,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0244,용답,4,0,"1,997",321,"2,927","1,172","7,080","1,642","13,101","2,788","7,249","1,859","4,873","1,952","4,037","2,290","4,262","2,812","4,442","3,062","3,876","3,504","3,823","4,431","4,792","5,414","4,359","6,294","3,757","10,860","2,147","6,972","1,453","5,083","1,065","5,441",849,"5,093",423,"3,043",95,"1,015",0,3,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0245,신답,7,0,"1,157",84,"1,815",884,"5,568",794,"10,070","1,621","3,984",980,"2,271",942,"1,903","1,007","1,901","1,283","1,964","1,328","1,663","1,755","1,697","2,664","1,911","3,260","1,983","4,188","1,859","9,421",970,"6,281",562,"3,291",490,"3,477",352,"2,755",171,"1,791",45,506,0,0,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0246,신설동,41,1,970,321,"1,336","1,947","4,917","5,024","8,263","13,526","4,777","8,711","4,380","7,534","5,332","6,820","6,735","6,941","7,068","7,775","7,832","6,336","9,048","5,486","9,608","4,862","11,156","5,257","12,992","7,286","4,402","5,181","2,746","3,633","2,353","3,174","1,584","2,875",639,"1,920",91,713,1,128,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0247,도림천,2,1,329,295,"1,155",854,"3,278","2,812","3,553","5,355","2,150","2,183","2,104","1,440","1,436","1,311","2,295","1,974","1,941","1,560","2,068","1,722","1,924","1,587","2,583","2,070","2,999","2,445","3,419","3,416","1,854","2,819",899,"1,960",929,"1,597",459,"1,156",168,940,32,311,1,6,1,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0248,양천구청,43,1,"4,513",793,"10,821","2,307","29,235","4,651","27,140","9,205","15,510","5,061","11,016","4,353","10,146","4,909","11,322","6,314","9,811","7,465","7,648","8,103","7,724","10,306","8,443","13,086","9,299","18,383","8,738","28,646","3,934","23,728","2,991","13,981","2,292","12,620","1,892","9,838",622,"7,044",160,"2,289",0,17,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0249,신정네거리,99,3,"7,694",686,"16,154","2,136","46,353","3,588","41,324","10,450","22,864","7,634","16,073","6,852","15,100","8,152","15,920","9,315","14,066","10,993","12,307","12,208","11,264","16,120","12,201","20,853","11,904","28,754","11,100","46,372","6,802","35,063","5,133","19,994","4,079","18,007","3,198","15,876","1,523","9,339",369,"2,839",1,120,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0250,용두(동대문구청),46,0,889,94,"1,748",788,"5,161","2,473","8,686","5,267","4,706","3,182","3,477","3,837","3,488","3,264","4,017","3,267","4,200","4,417","4,823","4,058","5,247","4,643","4,890","4,356","4,933","5,016","5,098","8,560","2,501","5,928","1,578","3,337","1,458","3,049",742,"2,083",303,"1,406",61,519,0,8,0,0,0,0,2025-03-03 16:39:16
2025-02,3호선,0309,지축,35,1,"2,927",495,"11,088","3,437","28,859","5,296","29,003","10,325","16,022","7,468","10,969","6,008","9,578","5,919","10,863","7,072","10,319","8,741","9,387","8,606","9,457","10,317","9,587","13,246","11,321","17,501","10,680","29,621","6,983","23,397","5,866","15,317","4,918","12,944","3,895","10,889","1,690","5,912",271,"1,121",0,0,0,0,0,0,2025-03-03 16:39:16
2025-02,3호선,0310,구파발,156,1,"11,131","1,566","30,795","9,641","78,207","17,790","76,132","25,100","42,853","22,783","30,600","24,188","29,387","23,915","31,680","25,600","29,961","28,239","30,907","28,647","33,462","29,437","35,736","36,324","35,228","45,047","28,400","71,582","18,891","61,810","15,521","34,428","13,205","30,439","10,705","26,557","2,963","17,430",549,"7,260",0,423,0,0,0,0,2025-03-03 16:39:16
2025-02,3호선,0311,연신내,240,7,"22,154","1,888","42,824","11,398","108,262","18,657","132,785","37,057","76,543","33,915","53,388","32,480","51,029","35,093","55,362","37,870","53,241","42,263","48,439","46,271","49,152","55,802","52,279","64,968","51,741","81,861","50,820","126,881","36,062","103,415","28,591","62,912","25,335","55,433","21,509","47,417","10,921","29,195","2,116","10,198",5,14,0,0,0,0,2025-03-03 16:39:16
2025-02,3호선,0312,불광,15,0,"8,709","1,284","17,226","6,077","47,954","9,106","59,040","28,198","34,288","24,113","24,493","20,957","23,755","21,642","25,105","23,492","25,542","27,311","25,110","26,933","26,945","29,884","27,844","33,515","27,062","38,829","28,331","56,856","16,233","45,844","12,625","27,737","9,975","24,052","6,959","21,218","3,168","12,213",498,"3,798",0,0,0,0,0,0,2025-03-03 16:39:16
2025-02,3호선,0313,녹번,57,3,"8,592",445,"22,168","3,009","63,413","7,028","71,351","15,356","39,108","9,199","24,987","8,520","21,705","9,086","21,443","11,089","20,100","13,242","16,751","15,495","16,028","19,095","16,294","25,361","16,626","34,050","18,236","59,518","9,223","48,868","6,662","29,304","5,610","25,477","3,818","22,218","1,373","12,765",199,"3,378",0,0,0,0,0,0,2025-03-03 16:39:16
2025-02,3호선,0314,홍제,83,7,"8,714","1,160","20,628","6,377","56,750","9,416","65,520","20,997","40,626","17,148","29,457","16,091","26,919","16,541","28,891","17,768","27,273","20,230","24,970","23,108","25,063","28,066","26,228","32,198","25,986","40,717","24,885","60,546","13,830","50,301","10,937","30,246","8,812","26,235","6,061","21,833","2,547","13,141",380,"3,398",0,0,0,0,0,0,2025-03-03 16:39:16
2025-02,3호선,0315,무악재,5,3,"1,772",141,"4,736","1,127","14,585","2,327","18,111","4,769","10,750","3,051","7,630","3,167","7,137","3,385","6,363","4,040","6,119","4,709","5,419","5,328","4,998","6,508","5,471","8,073","5,804","10,594","6,326","15,910","3,152","13,352","2,269","8,195","1,983","7,465","1,174","6,252",552,"4,122",90,"1,101",0,1,0,0,0,0,2025-03-03 16:39:16
